
REM CLNr    Gerätekennung             AnzKategorie    Bezeichnung             Kommentar                           RO   Text0                    Text1               MaskCSV

1;	      "ModbusStandard"__;	  "ALG-CL"_;	"CL1"_____________;	"Coil 1"__________________________;	0;	"AUS (0)"_________;	"EIN (1)"_________;	0
2;	      "ModbusStandard"__;	  "ALG-CL"_;	"CL2"_____________;	"Coil 2"__________________________;	0;	"AUS (0)"_________;	"EIN (1)"_________;	0
3;	      "ModbusStandard"__;	  "ALG-CL"_;	"CL3"_____________;	"Coil 3"__________________________;	0;	"AUS (0)"_________;	"EIN (1)"_________;	0
4;	      "ModbusStandard"__;	  "ALG-CL"_;	"CL4"_____________;	"Coil 4"__________________________;	0;	"AUS (0)"_________;	"EIN (1)"_________;	0
5;	      "ModbusStandard"__;	  "ALG-CL"_;	"CL5"_____________;	"Coil 5"__________________________;	0;	"AUS (0)"_________;	"EIN (1)"_________;	0
6;	      "ModbusStandard"__;	  "ALG-CL"_;	"CL6"_____________;	"Coil 6"__________________________;	0;	"AUS (0)"_________;	"EIN (1)"_________;	0
7;	      "ModbusStandard"__;	  "ALG-CL"_;	"CL7"_____________;	"Coil 7"__________________________;	0;	"AUS (0)"_________;	"EIN (1)"_________;	0
8;	      "ModbusStandard"__;	  "ALG-CL"_;	"CL8"_____________;	"Coil 8"__________________________;	0;	"AUS (0)"_________;	"EIN (1)"_________;	0
9;	      "ModbusStandard"__;	  "ALG-CL"_;	"CL9"_____________;	"Coil 9"__________________________;	0;	"AUS (0)"_________;	"EIN (1)"_________;	0
10;	      "ModbusStandard"__;	  "ALG-CL"_;	"CL10"____________;	"Coil 10"_________________________;	0;	"AUS (0)"_________;	"EIN (1)"_________;	0
11;	      "ModbusStandard"__;	  "ALG-CL"_;	"CL11"____________;	"Coil 11"_________________________;	0;	"AUS (0)"_________;	"EIN (1)"_________;	0
12;	      "ModbusStandard"__;	  "ALG-CL"_;	"CL12"____________;	"Coil 12"_________________________;	0;	"AUS (0)"_________;	"EIN (1)"_________;	0
13;	      "ModbusStandard"__;	  "ALG-CL"_;	"CL13"____________;	"Coil 13"_________________________;	0;	"AUS (0)"_________;	"EIN (1)"_________;	0
14;	      "ModbusStandard"__;	  "ALG-CL"_;	"CL14"____________;	"Coil 14"_________________________;	0;	"AUS (0)"_________;	"EIN (1)"_________;	0
15;	      "ModbusStandard"__;	  "ALG-CL"_;	"CL15"____________;	"Coil 15"_________________________;	0;	"AUS (0)"_________;	"EIN (1)"_________;	0
16;	      "ModbusStandard"__;	  "ALG-CL"_;	"CL16"____________;	"Coil 16"_________________________;	0;	"AUS (0)"_________;	"EIN (1)"_________;	0
17;	      "ModbusStandard"__;	  "ALG-CL"_;	"CL17"____________;	"Coil 17"_________________________;	0;	"AUS (0)"_________;	"EIN (1)"_________;	0
18;	      "ModbusStandard"__;	  "ALG-CL"_;	"CL18"____________;	"Coil 18"_________________________;	0;	"AUS (0)"_________;	"EIN (1)"_________;	0
19;	      "ModbusStandard"__;	  "ALG-CL"_;	"CL19"____________;	"Coil 19"_________________________;	0;	"AUS (0)"_________;	"EIN (1)"_________;	0
20;	      "ModbusStandard"__;	  "ALG-CL"_;	"CL20"____________;	"Coil 20"_________________________;	0;	"AUS (0)"_________;	"EIN (1)"_________;	0
21;	      "ModbusStandard"__;	  "ALG-CL"_;	"CL21"____________;	"Coil 21"_________________________;	0;	"AUS (0)"_________;	"EIN (1)"_________;	0
22;	      "ModbusStandard"__;	  "ALG-CL"_;	"CL22"____________;	"Coil 22"_________________________;	0;	"AUS (0)"_________;	"EIN (1)"_________;	0
23;	      "ModbusStandard"__;	  "ALG-CL"_;	"CL23"____________;	"Coil 23"_________________________;	0;	"AUS (0)"_________;	"EIN (1)"_________;	0
24;	      "ModbusStandard"__;	  "ALG-CL"_;	"CL24"____________;	"Coil 24"_________________________;	0;	"AUS (0)"_________;	"EIN (1)"_________;	0
25;	      "ModbusStandard"__;	  "ALG-CL"_;	"CL25"____________;	"Coil 25"_________________________;	0;	"AUS (0)"_________;	"EIN (1)"_________;	0
26;	      "ModbusStandard"__;	  "ALG-CL"_;	"CL26"____________;	"Coil 26"_________________________;	0;	"AUS (0)"_________;	"EIN (1)"_________;	0
27;	      "ModbusStandard"__;	  "ALG-CL"_;	"CL27"____________;	"Coil 27"_________________________;	0;	"AUS (0)"_________;	"EIN (1)"_________;	0
28;	      "ModbusStandard"__;	  "ALG-CL"_;	"CL28"____________;	"Coil 28"_________________________;	0;	"AUS (0)"_________;	"EIN (1)"_________;	0
29;	      "ModbusStandard"__;	  "ALG-CL"_;	"CL29"____________;	"Coil 29"_________________________;	0;	"AUS (0)"_________;	"EIN (1)"_________;	0
30;	      "ModbusStandard"__;	  "ALG-CL"_;	"CL30"____________;	"Coil 30"_________________________;	0;	"AUS (0)"_________;	"EIN (1)"_________;	0
31;	      "ModbusStandard"__;	  "ALG-CL"_;	"CL31"____________;	"Coil 31"_________________________;	0;	"AUS (0)"_________;	"EIN (1)"_________;	0
32;	      "ModbusStandard"__;	  "ALG-CL"_;	"CL32"____________;	"Coil 32"_________________________;	0;	"AUS (0)"_________;	"EIN (1)"_________;	0
33;	      "ModbusStandard"__;	  "ALG-CL"_;	"CL33"____________;	"Coil 33"_________________________;	0;	"AUS (0)"_________;	"EIN (1)"_________;	0
34;	      "ModbusStandard"__;	  "ALG-CL"_;	"CL34"____________;	"Coil 34"_________________________;	0;	"AUS (0)"_________;	"EIN (1)"_________;	0
35;	      "ModbusStandard"__;	  "ALG-CL"_;	"CL35"____________;	"Coil 35"_________________________;	0;	"AUS (0)"_________;	"EIN (1)"_________;	0
36;	      "ModbusStandard"__;	  "ALG-CL"_;	"CL36"____________;	"Coil 36"_________________________;	0;	"AUS (0)"_________;	"EIN (1)"_________;	0
37;	      "ModbusStandard"__;	  "ALG-CL"_;	"CL37"____________;	"Coil 37"_________________________;	0;	"AUS (0)"_________;	"EIN (1)"_________;	0
38;	      "ModbusStandard"__;	  "ALG-CL"_;	"CL38"____________;	"Coil 38"_________________________;	0;	"AUS (0)"_________;	"EIN (1)"_________;	0
39;	      "ModbusStandard"__;	  "ALG-CL"_;	"CL39"____________;	"Coil 39"_________________________;	0;	"AUS (0)"_________;	"EIN (1)"_________;	0
40;	      "ModbusStandard"__;	  "ALG-CL"_;	"CL40"____________;	"Coil 40"_________________________;	0;	"AUS (0)"_________;	"EIN (1)"_________;	0
41;	      "ModbusStandard"__;	  "ALG-CL"_;	"CL41"____________;	"Coil 41"_________________________;	0;	"AUS (0)"_________;	"EIN (1)"_________;	0
42;	      "ModbusStandard"__;	  "ALG-CL"_;	"CL42"____________;	"Coil 42"_________________________;	0;	"AUS (0)"_________;	"EIN (1)"_________;	0
43;	      "ModbusStandard"__;	  "ALG-CL"_;	"CL43"____________;	"Coil 43"_________________________;	0;	"AUS (0)"_________;	"EIN (1)"_________;	0
44;	      "ModbusStandard"__;	  "ALG-CL"_;	"CL44"____________;	"Coil 44"_________________________;	0;	"AUS (0)"_________;	"EIN (1)"_________;	0
45;	      "ModbusStandard"__;	  "ALG-CL"_;	"CL45"____________;	"Coil 45"_________________________;	0;	"AUS (0)"_________;	"EIN (1)"_________;	0
46;	      "ModbusStandard"__;	  "ALG-CL"_;	"CL46"____________;	"Coil 46"_________________________;	0;	"AUS (0)"_________;	"EIN (1)"_________;	0
47;	      "ModbusStandard"__;	  "ALG-CL"_;	"CL47"____________;	"Coil 47"_________________________;	0;	"AUS (0)"_________;	"EIN (1)"_________;	0
48;	      "ModbusStandard"__;	  "ALG-CL"_;	"CL48"____________;	"Coil 48"_________________________;	0;	"AUS (0)"_________;	"EIN (1)"_________;	0
49;	      "ModbusStandard"__;	  "ALG-CL"_;	"CL49"____________;	"Coil 49"_________________________;	0;	"AUS (0)"_________;	"EIN (1)"_________;	0
50;	      "ModbusStandard"__;	  "ALG-CL"_;	"CL50"____________;	"Coil 50"_________________________;	0;	"AUS (0)"_________;	"EIN (1)"_________;	0
51;	      "ModbusStandard"__;	  "ALG-CL"_;	"CL51"____________;	"Coil 51"_________________________;	0;	"AUS (0)"_________;	"EIN (1)"_________;	0
52;	      "ModbusStandard"__;	  "ALG-CL"_;	"CL52"____________;	"Coil 52"_________________________;	0;	"AUS (0)"_________;	"EIN (1)"_________;	0
53;	      "ModbusStandard"__;	  "ALG-CL"_;	"CL53"____________;	"Coil 53"_________________________;	0;	"AUS (0)"_________;	"EIN (1)"_________;	0
54;	      "ModbusStandard"__;	  "ALG-CL"_;	"CL54"____________;	"Coil 54"_________________________;	0;	"AUS (0)"_________;	"EIN (1)"_________;	0
55;	      "ModbusStandard"__;	  "ALG-CL"_;	"CL55"____________;	"Coil 55"_________________________;	0;	"AUS (0)"_________;	"EIN (1)"_________;	0
56;	      "ModbusStandard"__;	  "ALG-CL"_;	"CL56"____________;	"Coil 56"_________________________;	0;	"AUS (0)"_________;	"EIN (1)"_________;	0
57;	      "ModbusStandard"__;	  "ALG-CL"_;	"CL57"____________;	"Coil 57"_________________________;	0;	"AUS (0)"_________;	"EIN (1)"_________;	0
58;	      "ModbusStandard"__;	  "ALG-CL"_;	"CL58"____________;	"Coil 58"_________________________;	0;	"AUS (0)"_________;	"EIN (1)"_________;	0
59;	      "ModbusStandard"__;	  "ALG-CL"_;	"CL59"____________;	"Coil 59"_________________________;	0;	"AUS (0)"_________;	"EIN (1)"_________;	0
60;	      "ModbusStandard"__;	  "ALG-CL"_;	"CL60"____________;	"Coil 60"_________________________;	0;	"AUS (0)"_________;	"EIN (1)"_________;	0
61;	      "ModbusStandard"__;	  "ALG-CL"_;	"CL61"____________;	"Coil 61"_________________________;	0;	"AUS (0)"_________;	"EIN (1)"_________;	0
62;	      "ModbusStandard"__;	  "ALG-CL"_;	"CL62"____________;	"Coil 62"_________________________;	0;	"AUS (0)"_________;	"EIN (1)"_________;	0
63;	      "ModbusStandard"__;	  "ALG-CL"_;	"CL63"____________;	"Coil 63"_________________________;	0;	"AUS (0)"_________;	"EIN (1)"_________;	0
64;	      "ModbusStandard"__;	  "ALG-CL"_;	"CL64"____________;	"Coil 64"_________________________;	0;	"AUS (0)"_________;	"EIN (1)"_________;	0
65;	      "ModbusStandard"__;	  "ALG-CL"_;	"CL65"____________;	"Coil 65"_________________________;	0;	"AUS (0)"_________;	"EIN (1)"_________;	0
66;	      "ModbusStandard"__;	  "ALG-CL"_;	"CL66"____________;	"Coil 66"_________________________;	0;	"AUS (0)"_________;	"EIN (1)"_________;	0
67;	      "ModbusStandard"__;	  "ALG-CL"_;	"CL67"____________;	"Coil 67"_________________________;	0;	"AUS (0)"_________;	"EIN (1)"_________;	0
68;	      "ModbusStandard"__;	  "ALG-CL"_;	"CL68"____________;	"Coil 68"_________________________;	0;	"AUS (0)"_________;	"EIN (1)"_________;	0
69;	      "ModbusStandard"__;	  "ALG-CL"_;	"CL69"____________;	"Coil 69"_________________________;	0;	"AUS (0)"_________;	"EIN (1)"_________;	0
70;	      "ModbusStandard"__;	  "ALG-CL"_;	"CL70"____________;	"Coil 70"_________________________;	0;	"AUS (0)"_________;	"EIN (1)"_________;	0
71;	      "ModbusStandard"__;	  "ALG-CL"_;	"CL71"____________;	"Coil 71"_________________________;	0;	"AUS (0)"_________;	"EIN (1)"_________;	0
72;	      "ModbusStandard"__;	  "ALG-CL"_;	"CL72"____________;	"Coil 72"_________________________;	0;	"AUS (0)"_________;	"EIN (1)"_________;	0
73;	      "ModbusStandard"__;	  "ALG-CL"_;	"CL73"____________;	"Coil 73"_________________________;	0;	"AUS (0)"_________;	"EIN (1)"_________;	0
74;	      "ModbusStandard"__;	  "ALG-CL"_;	"CL74"____________;	"Coil 74"_________________________;	0;	"AUS (0)"_________;	"EIN (1)"_________;	0
75;	      "ModbusStandard"__;	  "ALG-CL"_;	"CL75"____________;	"Coil 75"_________________________;	0;	"AUS (0)"_________;	"EIN (1)"_________;	0
76;	      "ModbusStandard"__;	  "ALG-CL"_;	"CL76"____________;	"Coil 76"_________________________;	0;	"AUS (0)"_________;	"EIN (1)"_________;	0
77;	      "ModbusStandard"__;	  "ALG-CL"_;	"CL77"____________;	"Coil 77"_________________________;	0;	"AUS (0)"_________;	"EIN (1)"_________;	0
78;	      "ModbusStandard"__;	  "ALG-CL"_;	"CL78"____________;	"Coil 78"_________________________;	0;	"AUS (0)"_________;	"EIN (1)"_________;	0
79;	      "ModbusStandard"__;	  "ALG-CL"_;	"CL79"____________;	"Coil 79"_________________________;	0;	"AUS (0)"_________;	"EIN (1)"_________;	0
80;	      "ModbusStandard"__;	  "ALG-CL"_;	"CL80"____________;	"Coil 80"_________________________;	0;	"AUS (0)"_________;	"EIN (1)"_________;	0
81;	      "ModbusStandard"__;	  "ALG-CL"_;	"CL81"____________;	"Coil 81"_________________________;	0;	"AUS (0)"_________;	"EIN (1)"_________;	0
82;	      "ModbusStandard"__;	  "ALG-CL"_;	"CL82"____________;	"Coil 82"_________________________;	0;	"AUS (0)"_________;	"EIN (1)"_________;	0
83;	      "ModbusStandard"__;	  "ALG-CL"_;	"CL83"____________;	"Coil 83"_________________________;	0;	"AUS (0)"_________;	"EIN (1)"_________;	0
84;	      "ModbusStandard"__;	  "ALG-CL"_;	"CL84"____________;	"Coil 84"_________________________;	0;	"AUS (0)"_________;	"EIN (1)"_________;	0
85;	      "ModbusStandard"__;	  "ALG-CL"_;	"CL85"____________;	"Coil 85"_________________________;	0;	"AUS (0)"_________;	"EIN (1)"_________;	0
86;	      "ModbusStandard"__;	  "ALG-CL"_;	"CL86"____________;	"Coil 86"_________________________;	0;	"AUS (0)"_________;	"EIN (1)"_________;	0
87;	      "ModbusStandard"__;	  "ALG-CL"_;	"CL87"____________;	"Coil 87"_________________________;	0;	"AUS (0)"_________;	"EIN (1)"_________;	0
88;	      "ModbusStandard"__;	  "ALG-CL"_;	"CL88"____________;	"Coil 88"_________________________;	0;	"AUS (0)"_________;	"EIN (1)"_________;	0
89;	      "ModbusStandard"__;	  "ALG-CL"_;	"CL89"____________;	"Coil 89"_________________________;	0;	"AUS (0)"_________;	"EIN (1)"_________;	0
90;	      "ModbusStandard"__;	  "ALG-CL"_;	"CL90"____________;	"Coil 90"_________________________;	0;	"AUS (0)"_________;	"EIN (1)"_________;	0
91;	      "ModbusStandard"__;	  "ALG-CL"_;	"CL91"____________;	"Coil 91"_________________________;	0;	"AUS (0)"_________;	"EIN (1)"_________;	0
92;	      "ModbusStandard"__;	  "ALG-CL"_;	"CL92"____________;	"Coil 92"_________________________;	0;	"AUS (0)"_________;	"EIN (1)"_________;	0
93;	      "ModbusStandard"__;	  "ALG-CL"_;	"CL93"____________;	"Coil 93"_________________________;	0;	"AUS (0)"_________;	"EIN (1)"_________;	0
94;	      "ModbusStandard"__;	  "ALG-CL"_;	"CL94"____________;	"Coil 94"_________________________;	0;	"AUS (0)"_________;	"EIN (1)"_________;	0
95;	      "ModbusStandard"__;	  "ALG-CL"_;	"CL95"____________;	"Coil 95"_________________________;	0;	"AUS (0)"_________;	"EIN (1)"_________;	0
96;	      "ModbusStandard"__;	  "ALG-CL"_;	"CL96"____________;	"Coil 96"_________________________;	0;	"AUS (0)"_________;	"EIN (1)"_________;	0
97;	      "ModbusStandard"__;	  "ALG-CL"_;	"CL97"____________;	"Coil 97"_________________________;	0;	"AUS (0)"_________;	"EIN (1)"_________;	0
98;	      "ModbusStandard"__;	  "ALG-CL"_;	"CL98"____________;	"Coil 98"_________________________;	0;	"AUS (0)"_________;	"EIN (1)"_________;	0
99;	      "ModbusStandard"__;	  "ALG-CL"_;	"CL99"____________;	"Coil 99"_________________________;	0;	"AUS (0)"_________;	"EIN (1)"_________;	0
100;	      "ModbusStandard"__;	  "ALG-CL"_;	"CL100"___________;	"Coil 100"________________________;	0;	"AUS (0)"_________;	"EIN (1)"_________;	0
101;	      "ModbusStandard"__;	  "ALG-CL"_;	"CL101"___________;	"Coil 101"________________________;	0;	"AUS (0)"_________;	"EIN (1)"_________;	0
102;	      "ModbusStandard"__;	  "ALG-CL"_;	"CL102"___________;	"Coil 102"________________________;	0;	"AUS (0)"_________;	"EIN (1)"_________;	0
103;	      "ModbusStandard"__;	  "ALG-CL"_;	"CL103"___________;	"Coil 103"________________________;	0;	"AUS (0)"_________;	"EIN (1)"_________;	0
104;	      "ModbusStandard"__;	  "ALG-CL"_;	"CL104"___________;	"Coil 104"________________________;	0;	"AUS (0)"_________;	"EIN (1)"_________;	0
105;	      "ModbusStandard"__;	  "ALG-CL"_;	"CL105"___________;	"Coil 105"________________________;	0;	"AUS (0)"_________;	"EIN (1)"_________;	0
